PFID Old Name,PFID New Name,Annotation,Map_Name,Map Link,Enzyme,E C,Synonyms List
PF10_0218,PF3D7_1022500,citrate synthase_ mitochondrial precursor_ putative,Nuclear genes with mitochondrial signal sequences,http://mpmp.huji.ac.il/maps/nuclearGenes.html,Citrate synthase_ mitochondrial precursor_ putative,2.3.3.1,(R)-citric synthase_ citrate condensing enzyme_ citrate oxaloacetate-lyase [(pro-3S)-CH2COO-->acetyl-CoA]_ citrate oxaloacetate-lyase_ CoA-acetylating_ citrate synthase_ citrate synthetase_ citric synthase_ citric-condensing enzyme_ citrogenase_ condensing enzyme_ oxalacetic transacetase_ oxaloacetate transacetase_ 
PF10_0218,PF3D7_1022500,citrate synthase_ mitochondrial precursor_ putative,Mitochondrial TCA cycle,http://mpmp.huji.ac.il/maps/mitochondrTCAcycle.html,Citrate (si)-synthase,2.3.3.1,(R)-citric synthase_ citrate condensing enzyme_ citrate oxaloacetate-lyase [(pro-3S)-CH2COO-->acetyl-CoA]_ citrate oxaloacetate-lyase_ CoA-acetylating_ citrate synthase_ citrate synthetase_ citric synthase_ citric-condensing enzyme_ citrogenase_ condensing enzyme_ oxalacetic transacetase_ oxaloacetate transacetase_ 
PF10_0220,PF3D7_1022700,phospholipid scramblase 1_ putative,Transporters of the plasma membrane,http://mpmp.huji.ac.il/maps/PPM.html,Scramblase, ,
PF10_0220,PF3D7_1022700,phospholipid scramblase 1_ putative,Total palmitome of Plasmodium falciparum,http://mpmp.huji.ac.il/maps/palmito.html,phospholipid scramblase 1_ putative, ,
PF10_0221,PF3D7_1022800,4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase,Nuclear genes with apicoplast signal sequences,http://mpmp.huji.ac.il/maps/apicoplastgenes.html,GcpE protein_ 1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase,1.17.4.3,
PF10_0221,PF3D7_1022800,4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase,Isoprenoids metabolism,http://mpmp.huji.ac.il/maps/isoprenoidmetpath.html,4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase,1.17.4.3,
PF10_0222,PF3D7_1022900,CDGSH iron-sulfur domain-containing protein_ putative,Nuclear genes with mitochondrial signal sequences,http://mpmp.huji.ac.il/maps/nuclearGenes.html,CDGSH iron-sulfur domain-containing protein_ putative; PfMNL-3 mitoNEET-like iron-sulfur protein, ,
PF10_0222,PF3D7_1022900,CDGSH iron-sulfur domain-containing protein_ putative,Biosynthesis of Fe-S proteins in the apicoplast,http://mpmp.huji.ac.il/maps/BiosynthFeS.html,CISD1, ,
PF10_0222,PF3D7_1022900,CDGSH iron-sulfur domain-containing protein_ putative,Maturation of cytosolic and nuclear Fe-S proteins,http://priweb.cc.huji.ac.il/malaria/mapscytosol-Fe-S.html,CDGSH iron-sulfur domain-containing protein, ,
PF10_0224,PF3D7_1023100,dynein heavy chain_ putative,Molecular motor prototypes,http://mpmp.huji.ac.il/maps/molecularMotor.html,Dynein heavy chains, ,
PF10_0224,PF3D7_1023100,dynein heavy chain_ putative,Structure of the mitotic centrosome,http://mpmp.huji.ac.il/maps/mitoticCentro.html,Dynein, ,
PF10_0224,PF3D7_1023100,dynein heavy chain_ putative,Regulation of spindle microtubule dynamics,http://mpmp.huji.ac.il/maps/microtubuleDynam.html,Dynein, ,
PF10_0224,PF3D7_1023100,dynein heavy chain_ putative,Putative organization of the kinetochore,http://mpmp.huji.ac.il/maps/organizKinetochore.html,Dynein, ,
PF10_0224,PF3D7_1023100,dynein heavy chain_ putative,Kinetochores power chromosome movements in mitosis,http://mpmp.huji.ac.il/maps/Kinetochore.html,Dynein, ,
PF10_0224,PF3D7_1023100,dynein heavy chain_ putative,Centrosome proteins,http://mpmp.huji.ac.il/maps/centrosome.html,Dynein heavy chain_ putative, ,
PF10_0225,PF3D7_1023200,orotidine 5_-phosphate decarboxylase,Pyrimidine metabolism,http://mpmp.huji.ac.il/maps/pyrimidinemetpath.html,Orotidine-5_-phosphate decarboxylase,4.1.1.23,ODCase_ OMP decarboxylase_ OMP-DC_ orotate decarboxylase_ orotate monophosphate decarboxylase_ orotic decarboxylase_ orotidine 5_-phosphate decarboxylase_ orotidine monophosphate decarboxylase_ orotidine phosphate decarboxylase_ orotidine-5_-monophosphate decarboxylase_ orotidylic acid decarboxylase_ orotidylic decarboxylase_ orotodylate decarboxylase_ 
PF10_0227,PF3D7_1023400,HORMA domain protein_ putative,A model for UbpX function in the regulation of PCNA deubiquitylation,http://mpmp.huji.ac.il/maps/PCNA_UB.html,Polz, ,
PF10_0227,PF3D7_1023400,HORMA domain protein_ putative,Regulation of spindle microtubule dynamics,http://mpmp.huji.ac.il/maps/microtubuleDynam.html,Spindle assembly checkpoint protein mad2, ,
PF10_0232,PF3D7_1023900,SNF2 helicase_ putative,Proteins containing histone post translational modification-binding modules,http://mpmp.huji.ac.il/maps/his_bind_mod.html,chromodomain-helicase-DNA-binding protein 1, ,
PF10_0232,PF3D7_1023900,SNF2 helicase_ putative,ATP-dependent chromatin remodeling complexes,http://mpmp.huji.ac.il/maps/chrom_remod.html,Chromodomain-helicase-DNA-binding protein 1 homolog, ,
PF10_0232,PF3D7_1023900,SNF2 helicase_ putative,Nucleosome assembly and regulation,http://mpmp.huji.ac.il/maps/NucleoAssembly.html,Snf2,3.6.4.12,3_ to 5_ DNA helicase_ 3_-5_ DNA helicase_ AvDH1_ BACH1 helicase_ BRCA1-associated C-terminal helicase_ DNA helicase A_ 
PF10_0232,PF3D7_1023900,SNF2 helicase_ putative,Chromatin modifying proteins,http://mpmp.huji.ac.il/maps/chrom_mod_prot.html,chromodomain-helicase-DNA-binding protein 1 homolog, ,
PF10_0232,PF3D7_1023900,SNF2 helicase_ putative,The phosphoproteome of Plasmodium falciparum infected RBCs,http://mpmp.huji.ac.il/maps/phosphopr.html,Chromodomain-helicase-DNA-binding protein 1 homolog, ,
PF10_0232,PF3D7_1023900,SNF2 helicase_ putative,Phosphoproteome - Lasonder et al 2011,http://mpmp.huji.ac.il/maps/phosph_Lasonder.html,SNF2 helicase_ putative, ,
PF10_0232,PF3D7_1023900,SNF2 helicase_ putative,S-nitrosylated proteins,http://mpmp.huji.ac.il/maps/nitrosylatedProt.html,Chromodomain-helicase-DNA-binding protein 1 homolog_ putative, ,
PF10_0232,PF3D7_1023900,SNF2 helicase_ putative,Phosphoproteome - Pease et al 2013,http://mpmp.huji.ac.il/maps/phosph_Pease.html,SNF2 helicase_ putative, ,
PF10_0232,PF3D7_1023900,SNF2 helicase_ putative,Phosphoproteome - Treeck et al 2011,http://mpmp.huji.ac.il/maps/phosph_treeck.html,chromodomain-helicase-DNA-binding protein 1 homolog_ putative, ,
PF10_0232,PF3D7_1023900,SNF2 helicase_ putative,Transcription related proteins encoding genes,http://mpmp.huji.ac.il/maps/transcr_prot.html,SNF2 helicase_ putative, ,
PF10_0244,PF3D7_1025000,formin 2_ putative,Phosphoproteome - Treeck et al 2011,http://mpmp.huji.ac.il/maps/phosph_treeck.html,formin 2_ putative, ,
PF10_0244,PF3D7_1025000,formin 2_ putative,Phosphoproteome - Pease et al 2013,http://mpmp.huji.ac.il/maps/phosph_Pease.html,formin 2_ putative, ,
PF10_0244,PF3D7_1025000,formin 2_ putative,Phosphoproteome - Lasonder et al 2011,http://mpmp.huji.ac.il/maps/phosph_Lasonder.html,formin 2_ putative, ,
PF10_0244,PF3D7_1025000,formin 2_ putative,Components of the linear motor responsible for merozoite motility in invasion,http://mpmp.huji.ac.il/maps/linearMotor.html,Formin, ,
PF10_0244,PF3D7_1025000,formin 2_ putative,Actin and filaments,http://mpmp.huji.ac.il/maps/actin.html,Formin dimer, ,
PF10_0245,PF3D7_1025100,glutamine-fructose-6-phosphate aminotransferase [isomerizing]_ putative,Glutamate metabolism,http://mpmp.huji.ac.il/maps/glutamatemetpath.html,Hexosephosphate aminotransferase,2.6.1.16,D-fructose-6-phosphate amidotransferase_ GlcN6P synthase_ glucosamine 6-phosphate synthase_ glucosamine-6-phosphate isomerase (glutamine-forming)_ glucosaminephosphate isomerase_ hexosephosphate aminotransferase_ 
PF10_0245,PF3D7_1025100,glutamine-fructose-6-phosphate aminotransferase [isomerizing]_ putative,Aminosugars metabolism,http://mpmp.huji.ac.il/maps/aminosugmetpath.html,Glutamine-fructose-6-phosphate transaminase,2.6.1.16,D-fructose-6-phosphate amidotransferase_ GlcN6P synthase_ glucosamine 6-phosphate synthase_ glucosamine-6-phosphate isomerase (glutamine-forming)_ glucosaminephosphate isomerase_ hexosephosphate aminotransferase_ 
PF10_0245,PF3D7_1025100,glutamine-fructose-6-phosphate aminotransferase [isomerizing]_ putative,Peptidases and proteases,http://mpmp.huji.ac.il/maps/proteases.html,glucosamine--fructose-6-phosphate aminotransferase,2.6.1.16,D-fructose-6-phosphate amidotransferase_ GlcN6P synthase_ glucosamine 6-phosphate synthase_ glucosamine-6-phosphate isomerase (glutamine-forming)_ glucosaminephosphate isomerase_ hexosephosphate aminotransferase_ 
PF10_0245,PF3D7_1025100,glutamine-fructose-6-phosphate aminotransferase [isomerizing]_ putative,Nuclear genes with apicoplast signal sequences,http://mpmp.huji.ac.il/maps/apicoplastgenes.html,glucosamine-fructose-6-phosphate aminotransferase_ putative,2.6.1.16,D-fructose-6-phosphate amidotransferase_ GlcN6P synthase_ glucosamine 6-phosphate synthase_ glucosamine-6-phosphate isomerase (glutamine-forming)_ glucosaminephosphate isomerase_ hexosephosphate aminotransferase_ 
PF10_0252,PF3D7_1025600,cytochrome oxidase copper chaperone_ putative,Nuclear genes with mitochondrial signal sequences,http://mpmp.huji.ac.il/maps/nuclearGenes.html,Cytochrome c oxidase copper chaperone_ putative, ,
PF10_0252,PF3D7_1025600,cytochrome oxidase copper chaperone_ putative,Biogenesis of cytochrome oxidase,http://mpmp.huji.ac.il/maps/BiogenesisCytochromeOxidase.html,Cox17, ,
PF10_0261,PF3D7_1026400,cell division cycle protein 20 homolog_ putative,Regulation of spindle microtubule dynamics,http://mpmp.huji.ac.il/maps/microtubuleDynam.html,Ase1, ,
PF10_0261,PF3D7_1026400,cell division cycle protein 20 homolog_ putative,Putative organization of the kinetochore,http://mpmp.huji.ac.il/maps/organizKinetochore.html,APC, ,
PF10_0261,PF3D7_1026400,cell division cycle protein 20 homolog_ putative,Proteins involved in steps during passage through prophase,http://mpmp.huji.ac.il/maps/protProphase.html,APC, ,
PF10_0261,PF3D7_1026400,cell division cycle protein 20 homolog_ putative,Kinetochores power chromosome movements in mitosis,http://mpmp.huji.ac.il/maps/Kinetochore.html,APC, ,
PF10_0261,PF3D7_1026400,cell division cycle protein 20 homolog_ putative,Anaphase promoting complex ubiquitin-ligase,http://mpmp.huji.ac.il/maps/complex_ubiquitin_ligase.html,Cdc 20, ,
PF10_0264,PF3D7_1026800,40S ribosomal protein S2B_ putative,Ribosomal structure,http://mpmp.huji.ac.il/maps/ribosomeStruct.html,40S ribosomal protein S2B_ putative, ,
PF10_0264,PF3D7_1026800,40S ribosomal protein S2B_ putative,S-Glutathionylated proteins,http://mpmp.huji.ac.il/maps/gluth_prot.html,40S Ribosomal protein S2B, ,
PF10_0264,PF3D7_1026800,40S ribosomal protein S2B_ putative,S-nitrosylated proteins,http://mpmp.huji.ac.il/maps/nitrosylatedProt.html,40S ribosomal protein S2B_ putative, ,
PF10_0264,PF3D7_1026800,40S ribosomal protein S2B_ putative,Phosphoproteome - Pease et al 2013,http://mpmp.huji.ac.il/maps/phosph_Pease.html,40S ribosomal protein S2B_ putative, ,
PF10_0264,PF3D7_1026800,40S ribosomal protein S2B_ putative,Phosphoproteome - Treeck et al 2011,http://mpmp.huji.ac.il/maps/phosph_treeck.html,40S ribosomal protein S2B_ putative, ,
PF10_0409,PF3D7_1026900,biotin--acetyl-CoA-carboxylase_ putative,Fatty acid synthesis in the apicoplast,http://mpmp.huji.ac.il/maps/facidsynthesispath.html,Acetyl-CoA Carboxylase,6.4.1.2,acetyl coenzyme A carboxylase_ 
PF10_0266,PF3D7_1027100,small subunit rRNA processing stabilizing factor_ putative,Maturation and export of 60S and 40S ribosomal subunits,http://mpmp.huji.ac.il/maps/riboMaturation.html,90S particles A, ,
PF10_0266,PF3D7_1027100,small subunit rRNA processing stabilizing factor_ putative,Genes coding for components involved in ribosome assembly,http://mpmp.huji.ac.il/maps/Ribosomegenes.html,MPP10 protein_ putative, ,
PF10_0266,PF3D7_1027100,small subunit rRNA processing stabilizing factor_ putative,Phosphoproteome - Treeck et al 2011,http://mpmp.huji.ac.il/maps/phosph_treeck.html,small subunit rRNA processing stabilizing factor_ putative, ,
PF10_0267,PF3D7_1027200,mitochondrial ribosomal protein S22 precursor_ putative,Ribosomal structure,http://mpmp.huji.ac.il/maps/ribosomeStruct.html,Mitochondrial ribosomal protein S22 precursor_ putative, ,
PF10_0267,PF3D7_1027200,mitochondrial ribosomal protein S22 precursor_ putative,Nuclear genes with mitochondrial signal sequences,http://mpmp.huji.ac.il/maps/nuclearGenes.html,Mitochondrial ribosomal protein S22 precursor_ putative, ,
PF10_0268,PF3D7_1027300,peroxiredoxin,The phosphoproteome of Plasmodium falciparum infected RBCs,http://mpmp.huji.ac.il/maps/phosphopr.html,Merozoite capping protein 1, ,
PF10_0268,PF3D7_1027300,peroxiredoxin,Thioredoxin_ Glutaredoxin and Peroxiredoxin,http://mpmp.huji.ac.il/maps/thioredoxinpath.html,Peroxiredoxin,1.11.1.15,AhpC_ alkyl hydroperoxide reductase C22_ PRDX_ Prx_ thioredoxin peroxidase_ TrxPx_ tryparedoxin peroxidase_ TXNPx_ 
PF10_0268,PF3D7_1027300,peroxiredoxin,Redox Metabolism,http://mpmp.huji.ac.il/maps/redoxmetpath.html,Peroxiredoxin,1.11.1.15,AhpC_ alkyl hydroperoxide reductase C22_ PRDX_ Prx_ thioredoxin peroxidase_ TrxPx_ tryparedoxin peroxidase_ TXNPx_ 
PF10_0268,PF3D7_1027300,peroxiredoxin,S-nitrosylated proteins,http://mpmp.huji.ac.il/maps/nitrosylatedProt.html,Merozoite capping protein 1, ,
PF10_0268,PF3D7_1027300,peroxiredoxin,Phosphoproteome - Lasonder et al 2011,http://mpmp.huji.ac.il/maps/phosph_Lasonder.html,peroxiredoxin,1.11.1.15,AhpC_ alkyl hydroperoxide reductase C22_ PRDX_ Prx_ thioredoxin peroxidase_ TrxPx_ tryparedoxin peroxidase_ TXNPx_ 
PF10_0268,PF3D7_1027300,peroxiredoxin,S-Glutathionylated proteins,http://mpmp.huji.ac.il/maps/gluth_prot.html,Merozoite capping protein 1_ peroxiredoxin,1.11.1.15,AhpC_ alkyl hydroperoxide reductase C22_ PRDX_ Prx_ thioredoxin peroxidase_ TrxPx_ tryparedoxin peroxidase_ TXNPx_ 
PF10_0268,PF3D7_1027300,peroxiredoxin,Transcription and processing of snRNAs,http://MPMP.huji.ac.il/maps/snRNA_transc.html,Capping enzyme,1.11.1.15,AhpC_ alkyl hydroperoxide reductase C22_ PRDX_ Prx_ thioredoxin peroxidase_ TrxPx_ tryparedoxin peroxidase_ TXNPx_ 
PF10_0269,PF3D7_1027400,DNA-directed RNA polymerase II_ putative,Transcription and processing of snRNAs,http://MPMP.huji.ac.il/maps/snRNA_transc.html,Pol II,2.7.7.6,C ribonucleic acid formation factors_ C RNA formation factors_ deoxyribonucleic acid-dependent ribonucleic acid polymerase_ DNA-dependent ribonucleate nucleotidyltransferase_ DNA-dependent RNA nucleotidyltransferase_ DNA-dependent RNA polymerase_ ribonucleate nucleotidyltransferase_ ribonucleate polymerase_ ribonucleic acid nucleotidyltransferase_ ribonucleic acid polymerase_ ribonucleic acid transcriptase_ ribonucleic polymerase_ ribonucleic transcriptase_ RNA nucleotidyltransferase_ RNA nucleotidyltransferase (DNA-directed)_ RNA polymerase_ RNA polymerase I_ RNA polymerase II_ RNA polymerase III_ RNA transcriptase_ transcriptase_ 
PF10_0269,PF3D7_1027400,DNA-directed RNA polymerase II_ putative,Transcription related proteins encoding genes,http://mpmp.huji.ac.il/maps/transcr_prot.html,DNA-directed RNA polymerase II_ putative, ,
PF10_0269,PF3D7_1027400,DNA-directed RNA polymerase II_ putative,RNA polymerase II transcribes mRNA,http://mpmp.huji.ac.il/maps/RNApolyII.html,RNA Pol II,2.7.7.6,C ribonucleic acid formation factors_ C RNA formation factors_ deoxyribonucleic acid-dependent ribonucleic acid polymerase_ DNA-dependent ribonucleate nucleotidyltransferase_ DNA-dependent RNA nucleotidyltransferase_ DNA-dependent RNA polymerase_ ribonucleate nucleotidyltransferase_ ribonucleate polymerase_ ribonucleic acid nucleotidyltransferase_ ribonucleic acid polymerase_ ribonucleic acid transcriptase_ ribonucleic polymerase_ ribonucleic transcriptase_ RNA nucleotidyltransferase_ RNA nucleotidyltransferase (DNA-directed)_ RNA polymerase_ RNA polymerase I_ RNA polymerase II_ RNA polymerase III_ RNA transcriptase_ transcriptase_ 
PF10_0269,PF3D7_1027400,DNA-directed RNA polymerase II_ putative,The structures of RNA polymerases,http://mpmp.huji.ac.il/maps/RNApolyStruct.html,Pol II - 7, ,
PF10_0412,PF3D7_1027600,topoisomerase_ putative,DNA Replication,http://mpmp.huji.ac.il/maps/dnareplication.html,Topoisomerase IV,5.99.1.3,deoxyribonucleate topoisomerase_ deoxyribonucleic topoisomerase_ DNA topoisomerase II_ DNA-gyrase_ topoisomerase_ type II DNA topoisomerase_ 
PF10_0271,PF3D7_1027700,centrin-3,Structure of the mitotic centrosome,http://mpmp.huji.ac.il/maps/mitoticCentro.html,Centrin, ,
PF10_0271,PF3D7_1027700,centrin-3,Centriole proteins,http://mpmp.huji.ac.il/maps/Centriole.html,centrin_ putative, ,
PF10_0271,PF3D7_1027700,centrin-3,Phosphoproteome - Lasonder et al 2011,http://mpmp.huji.ac.il/maps/phosph_Lasonder.html,centrin-3, ,
PF10_0271,PF3D7_1027700,centrin-3,S-nitrosylated proteins,http://mpmp.huji.ac.il/maps/nitrosylatedProt.html,Centrin-3, ,
PF10_0271,PF3D7_1027700,centrin-3,Phosphoproteome - Treeck et al 2011,http://mpmp.huji.ac.il/maps/phosph_treeck.html,centrin-3, ,
PF10_0271,PF3D7_1027700,centrin-3,Phosphoproteome - Pease et al 2013,http://mpmp.huji.ac.il/maps/phosph_Pease.html,centrin-3, ,
PF10_0272,PF3D7_1027800,60S ribosomal protein L3_ putative,Phosphoproteome - Pease et al 2013,http://mpmp.huji.ac.il/maps/phosph_Pease.html,60S ribosomal protein L3_ putative, ,
PF10_0272,PF3D7_1027800,60S ribosomal protein L3_ putative,Phosphoproteome - Treeck et al 2011,http://mpmp.huji.ac.il/maps/phosph_treeck.html,60S ribosomal protein L3_ putative, ,
PF10_0272,PF3D7_1027800,60S ribosomal protein L3_ putative,Phosphoproteome - Lasonder et al 2011,http://mpmp.huji.ac.il/maps/phosph_Lasonder.html,60S ribosomal protein L3_ putative, ,
PF10_0272,PF3D7_1027800,60S ribosomal protein L3_ putative,S-Glutathionylated proteins,http://mpmp.huji.ac.il/maps/gluth_prot.html,Ribosomal protein L3, ,
PF10_0272,PF3D7_1027800,60S ribosomal protein L3_ putative,Total palmitome of Plasmodium falciparum,http://mpmp.huji.ac.il/maps/palmito.html,60S ribosomal protein L3_ putative, ,
PF10_0272,PF3D7_1027800,60S ribosomal protein L3_ putative,Parasite encoded proteins associated with the membrane of infected erythrocytes,http://mpmp.huji.ac.il/maps/iRBC_prots.html,60S ribosomal protein L3 putative, ,
PF10_0272,PF3D7_1027800,60S ribosomal protein L3_ putative,Ribosomal structure,http://mpmp.huji.ac.il/maps/ribosomeStruct.html,60S ribosomal protein L3_ putative, ,
PF10_0273,PF3D7_1027900,palmitoyltransferase_ putative,N-myristoylation_ S-acylation and prenylation of proteins,http://mpmp.huji.ac.il/maps/prenylation.html,Cysteine C-palmitoyltransferase,2.3.1.-,
PF10_0274,PF3D7_1028000,methyltransferase_ putative,tRNA modifications,http://mpmp.huji.ac.il/maps/tRNA_mod.html,tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase,2.1.1.61,5-methyltransferase_ transfer ribonucleate 5-methylaminomethyl-2-thiouridylat_ tRNA 5-methylaminomethyl-2-thiouridylate 5_-methyltransferase_ 
PF10_0275,PF3D7_1028100,protoporphyrinogen oxidase,Porphyrin metabolism,http://mpmp.huji.ac.il/maps/porphyrinmetpath.html,Protoporphyrinogen oxidase,1.3.3.4,protoporphyrinogen IX oxidase_ protoporphyrinogenase_ 
PF10_0275,PF3D7_1028100,protoporphyrinogen oxidase,Nuclear genes with mitochondrial signal sequences,http://mpmp.huji.ac.il/maps/nuclearGenes.html,Protoporphyrinogen oxidase,1.3.3.4,protoporphyrinogen IX oxidase_ protoporphyrinogenase_ 
PF10_0276,PF3D7_1028200,zinfc inger_ C3HC4 type_ putative,Chaperone network and protein quality control of the mitochondrion,http://mpmp.huji.ac.il/maps/chaperone.html,E3, ,
PF10_0276,PF3D7_1028200,zinfc inger_ C3HC4 type_ putative,Genes coding for components of the proteasome degradation machinery & their timed transcription,http://mpmp.huji.ac.il/maps/proteasome_new.html,zinc finger_ C3HC4 type_ putative; E3 ubiquitin-protein ligase SIS3,6.3.2.19,ubiquitin-activating enzyme_ 
PF10_0277,PF3D7_1028300,nucleolar preribosomal assembly protein_ putative,Genes coding for components involved in ribosome assembly,http://mpmp.huji.ac.il/maps/Ribosomegenes.html,Nucleolar preribosomal assembly protein_ putative; Required for the maturation of 25S rRNA and 60S subunit assembly, ,
PF10_0277,PF3D7_1028300,nucleolar preribosomal assembly protein_ putative,Maturation and export of 60S and 40S ribosomal subunits,http://mpmp.huji.ac.il/maps/riboMaturation.html,60S ribosomal subunits A, ,
PF10_0278,PF3D7_1028400,nucleolar preribosomal assembly protein_ putative,Maturation and export of 60S and 40S ribosomal subunits,http://mpmp.huji.ac.il/maps/riboMaturation.html,60S ribosomal subunits A, ,
PF10_0278,PF3D7_1028400,nucleolar preribosomal assembly protein_ putative,Genes coding for components involved in ribosome assembly,http://mpmp.huji.ac.il/maps/Ribosomegenes.html,Nucleolar preribosomal assembly protein_ putative; Essential protein involved in the processing of pre-rRNA and the assembly of the 60S Ribosomal subunit, ,
PF10_0278,PF3D7_1028400,nucleolar preribosomal assembly protein_ putative,Total palmitome of Plasmodium falciparum,http://mpmp.huji.ac.il/maps/palmito.html,nucleolar preribosomal assembly protein_ putative, ,
PF10_0281,PF3D7_1028700,merozoite TRAP-like protein,Functional annotation of merozoite invasion-related proteins,http://mpmp.huji.ac.il/maps/Merozoiteproteins.html,MTRAP, ,
PF10_0289,PF3D7_1029600,adenosine deaminase,S-Glutathionylated proteins,http://mpmp.huji.ac.il/maps/gluth_prot.html,Adenosine deaminase,3.5.4.4,deoxyadenosine deaminase_ 
PF10_0289,PF3D7_1029600,adenosine deaminase,Total palmitome of Plasmodium falciparum,http://mpmp.huji.ac.il/maps/palmito.html,adenosine deaminase_ putative,3.5.4.4,deoxyadenosine deaminase_ 
PF10_0289,PF3D7_1029600,adenosine deaminase,S-nitrosylated proteins,http://mpmp.huji.ac.il/maps/nitrosylatedProt.html,Adenosine deaminase_ putative,3.5.4.4,deoxyadenosine deaminase_ 
PF10_0289,PF3D7_1029600,adenosine deaminase,Phosphoproteome - Pease et al 2013,http://mpmp.huji.ac.il/maps/phosph_Pease.html,adenosine deaminase_ putative, ,
PF10_0289,PF3D7_1029600,adenosine deaminase,tRNA modifications,http://mpmp.huji.ac.il/maps/tRNA_mod.html,Adenosine deaminase,3.5.4.4,deoxyadenosine deaminase_ 
PF10_0289,PF3D7_1029600,adenosine deaminase,Purine metabolism,http://mpmp.huji.ac.il/maps/purinemetpath.html,Adenosine deaminase,3.5.4.4,deoxyadenosine deaminase_ 
PF10_0289,PF3D7_1029600,adenosine deaminase,Methionine and Polyamine metabolism,http://mpmp.huji.ac.il/maps/methioninemetpath.html,Adenosine deaminase,3.5.4.4,deoxyadenosine deaminase_ 
PF10_0293,PF3D7_1030000,transcription factor_ putative,RNA polymerase II transcribes mRNA,http://mpmp.huji.ac.il/maps/RNApolyII.html,Spt4, ,
PF10_0293,PF3D7_1030000,transcription factor_ putative,The phosphoproteome of Plasmodium falciparum infected RBCs,http://mpmp.huji.ac.il/maps/phosphopr.html,Transcription factor, ,
PF10_0293,PF3D7_1030000,transcription factor_ putative,Phosphoproteome - Treeck et al 2011,http://mpmp.huji.ac.il/maps/phosph_treeck.html,transcription factor_ putative, ,
PF10_0293,PF3D7_1030000,transcription factor_ putative,Transcription related proteins encoding genes,http://mpmp.huji.ac.il/maps/transcr_prot.html,transcription factor_ putative, ,
PF10_0294,PF3D7_1030100,pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22_ putative,Phosphoproteome - Treeck et al 2011,http://mpmp.huji.ac.il/maps/phosph_treeck.html,RNA helicase_ putative, ,
PF10_0294,PF3D7_1030100,pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22_ putative,Phosphoproteome - Pease et al 2013,http://mpmp.huji.ac.il/maps/phosph_Pease.html,pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22_ putative, ,
PF10_0294,PF3D7_1030100,pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22_ putative,Phosphoproteome - Lasonder et al 2011,http://mpmp.huji.ac.il/maps/phosph_Lasonder.html,pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22_ putative,3.6.5.2,
PF10_0294,PF3D7_1030100,pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22_ putative,The phosphoproteome of Plasmodium falciparum infected RBCs,http://mpmp.huji.ac.il/maps/phosphopr.html,Pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22, ,
PF10_0294,PF3D7_1030100,pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22_ putative,Pre-ribosomal particles along the 40S assembly pathway,http://mpmp.huji.ac.il/maps/40S_assemb_path.html,Prp43,3.6.5.2,
PF10_0294,PF3D7_1030100,pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22_ putative,Splicing of pre-mRNA,http://mpmp.huji.ac.il/maps/splicing.html,RNA helicase; Prp22,3.6.5.2,
PF10_0294,PF3D7_1030100,pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22_ putative,Pre-ribosomal particles along the 60S assembly pathway,http://mpmp.huji.ac.il/maps/60S_assem_pathw,Prp43, ,
PF10_0298,PF3D7_1030500,26S proteasome regulatory subunit_ putative,Genes coding for components of the proteasome degradation machinery & their timed transcription,http://mpmp.huji.ac.il/maps/proteasome_new.html,26S proteasome subunit_ putative Rpn9, ,
PF10_0299,PF3D7_1030600,glycoprotease_ putative,Peptidases and proteases,http://mpmp.huji.ac.il/maps/proteases.html,glycoprotease_ putative,3.4.24.57,glycophorin A proteinase_ glycoprotease_ glycoproteinase_ sialoglycoprotease_ sialoglycoproteinase_ 
PF10_0300,PF3D7_1030700,RNA methyltransferase_ putative,tRNA modifications,http://mpmp.huji.ac.il/maps/tRNA_mod.html,tRNA guanosine-2_-O-methyltransferase,2.1.1.34,S-adenosyl-L-methionine:tRNA (guanosine-2_-O-)-methyltransferase_ transfer ribonucleate guanosine 2_-methyltransferase_ tRNA (Gm18) 2_-O-methyltransferase_ tRNA (Gm18) methyltransferase_ tRNA (guanosine 2_)-methyltransferase_ tRNA (guanosine-2_-O-)-methyltransferase_ tRNA guanosine 2_-methyltransferase_ 
PF10_0301,PF3D7_1030800,calmodulin_ putative,Calcium � calmodulin activation of protein kinases,http://mpmp.huji.ac.il/maps/calmodulin.html,Calmodulin, ,
PF10_0302,PF3D7_1030900,28 kDa ookinete surface protein,Genes coding for GPI-anchored membrane proteins,http://mpmp.huji.ac.il/maps/GPI_prots.html,28 kDa ookinete surface protein; Pfs28, ,
