Geneid	Chr	Start	End	Strand	Length	hisat2/Ap20-GFP-SFC-16h-R1.bam	hisat2/Ap20-GFP-SFC-16h-R2.bam	hisat2/Ap20-GFP-SFC-4h-R1.bam	hisat2/Ap20-GFP-SFC-4h-R2.bam	hisat2/Ap20-GFP-SFC-8h-R1.bam	hisat2/Ap20-GFP-SFC-8h-R2.bam	hisat2/GFPcon-16hr-R1.bam	hisat2/GFPcon-16hr-R2.bam	hisat2/GFPcon-4hr-R1.bam	hisat2/GFPcon-4hr-R2.bam	hisat2/GFPcon-8hr-R1_S9.bam	hisat2/GFPcon-8hr-R2.bam	hisat2/RM-10_S417.bam	hisat2/RM-1_S408.bam	hisat2/RM-2_S409.bam	hisat2/RM-3_S410.bam	hisat2/RM-4_S411.bam	hisat2/RM-5_S412.bam	hisat2/RM-6_S413.bam	hisat2/RM-7_S414.bam	hisat2/RM-8_S415.bam	hisat2/RM-9_S416.bam	hisat2/F-1_SRR5260552.bam	hisat2/F-2_SRR5260551.bam	hisat2/F-3_SRR5260550.bam	hisat2/F1_21725_8_4.bam	hisat2/F2_21725_8_5.bam	hisat2/F3_21725_8_6.bam
PBANKA_0601700	PbANKA_06_v3;PbANKA_06_v3;PbANKA_06_v3;PbANKA_06_v3;PbANKA_06_v3	146768;147952;148114;148285;148514	147760;148004;148169;148355;148612	+;+;+;+;+	1272	288	1143	48	38	157	33	511	78	9	0	102	21	0	142	233	76	49	236	69	398	32	74	215	324	302	1111	614	916
PBANKA_1230500	PbANKA_12_v3;PbANKA_12_v3;PbANKA_12_v3;PbANKA_12_v3;PbANKA_12_v3;PbANKA_12_v3;PbANKA_12_v3	1183579;1183727;1183947;1184142;1184370;1184579;1184797	1183606;1183782;1184015;1184237;1184438;1184642;1184891	+;+;+;+;+;+;+	477	304	1150	191	122	467	160	318	202	743	0	215	90	4	21	199	67	27	23	11	37	3	19	812	941	977	1023	787	915
PBANKA_1455100	PbANKA_14_v3;PbANKA_14_v3	2140291;2140688	2140455;2141533	+;+	1011	65	58	249	103	294	228	183	198	705	1	405	203	0	37	560	209	91	5	8	25	3	17	1031	1090	1226	880	958	913
PBANKA_0505200	PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3	201996;202207;202836;203333	202090;202704;203068;203574	-;-;-;-	1068	2042	7285	466	375	1961	509	4295	2084	732	0	965	392	8	514	209	99	74	144	62	1130	61	99	509	519	628	955	820	913
PBANKA_1454900	PbANKA_14_v3	2134467	2135867	-	1401	34	112	47	28	41	7	127	23	14	2	34	20	2	121	219	56	34	47	41	204	5	9	362	301	326	1209	852	912
PBANKA_0512300	PbANKA_05_v3	481486	482304	-	819	1230	2142	127	124	361	190	538	486	231	1	309	119	7	88	79	40	11	11	10	201	5	11	260	252	299	1346	819	912
PBANKA_1102400	PbANKA_11_v3;PbANKA_11_v3	118242;118897	118789;119392	-;-	1044	10	32	18	15	64	20	58	21	15	0	29	20	0	24	148	37	14	13	18	38	4	8	84	70	100	880	758	912
PBANKA_0623400	PbANKA_06_v3;PbANKA_06_v3;PbANKA_06_v3;PbANKA_06_v3;PbANKA_06_v3;PbANKA_06_v3	955876;956208;956556;956789;957012;957410	956036;956463;956625;956898;957245;957514	+;+;+;+;+;+	936	98	284	31	25	40	43	32	87	97	0	49	16	4	20	39	10	2	15	4	22	1	1	149	194	219	1296	744	911
PBANKA_1440200	PbANKA_14_v3;PbANKA_14_v3	1523271;1524063	1523899;1524309	+;+	876	66	275	27	17	38	14	31	16	49	0	27	9	0	37	167	52	28	76	23	25	6	24	164	196	176	1190	728	911
PBANKA_1357300	PbANKA_13_v3;PbANKA_13_v3;PbANKA_13_v3	2185287;2187892;2188450	2187772;2188097;2188451	-;-;-	2694	29	62	156	118	139	45	113	59	98	1	80	44	0	426	399	111	68	17	91	338	6	4	581	401	445	881	838	910
PBANKA_0206200	PbANKA_02_v3	216165	217598	+	1434	128	332	79	67	163	76	329	134	140	1	105	71	7	288	304	96	78	44	98	454	22	37	362	253	302	1129	829	910
PBANKA_1145000	PbANKA_11_v3	1674151	1675422	-	1272	17	34	67	57	53	21	59	19	10	0	30	21	1	104	278	64	33	3	44	163	2	3	380	314	327	896	752	910
PBANKA_1022100	PbANKA_10_v3	893379	896135	-	2757	6	51	37	41	96	23	64	8	6	0	38	15	0	177	272	105	43	16	77	143	3	2	51	68	56	855	695	910
PBANKA_1339700	PbANKA_13_v3;PbANKA_13_v3;PbANKA_13_v3;PbANKA_13_v3;PbANKA_13_v3;PbANKA_13_v3;PbANKA_13_v3;PbANKA_13_v3	1558715;1559202;1561287;1561576;1561744;1562074;1562286;1562825	1559106;1561167;1561427;1561625;1561980;1562135;1562575;1562887	-;-;-;-;-;-;-;-	3201	23	49	33	21	48	24	59	9	15	0	30	13	0	87	471	142	64	47	47	135	6	7	140	182	168	904	893	909
PBANKA_0506200	PbANKA_05_v3;PbANKA_05_v3	262315;263509	263371;266384	+;+	3933	231	897	178	121	145	75	371	116	54	1	110	66	0	344	396	122	55	664	220	479	30	48	184	239	207	1860	1109	905
PBANKA_0508500	PbANKA_05_v3	357340	357735	+	396	100	757	51	37	155	25	118	30	34	0	64	25	0	37	166	65	32	8	20	60	5	18	785	793	861	1040	755	904
PBANKA_0720300	PbANKA_07_v3	744771	746075	+	1305	83	273	53	32	59	24	210	46	25	0	33	21	1	121	397	107	49	90	37	189	3	3	190	247	234	802	737	904
PBANKA_1350200	PbANKA_13_v3	1919959	1921035	+	1077	87	367	65	30	75	26	112	19	141	1	94	28	2	31	1015	274	102	63	38	39	7	24	136	159	133	1095	688	903
PBANKA_0211100	PbANKA_02_v3	402591	405410	-	2820	83	303	32	22	48	16	219	27	5	2	17	15	1	229	218	66	35	197	109	343	13	18	100	98	95	767	756	902
PBANKA_1328900	PbANKA_13_v3	1151111	1155517	+	4407	14	26	53	39	34	26	23	24	46	5	40	20	3	6	456	122	50	9	13	27	5	12	205	197	219	856	763	901
PBANKA_1019000	PbANKA_10_v3;PbANKA_10_v3	794271;794767	794587;794956	-;-	507	275	1559	63	45	306	51	515	60	56	2	128	45	0	58	349	101	38	88	34	138	10	34	287	220	219	1102	747	901
PBANKA_0208300	PbANKA_02_v3	286146	287666	-	1521	36	70	28	14	139	66	127	33	37	1	73	17	0	87	157	41	23	6	18	82	0	2	295	248	362	727	724	901
PBANKA_1235200	PbANKA_12_v3	1346394	1347323	-	930	107	404	64	37	174	33	181	57	67	0	86	27	0	94	157	41	33	3	24	151	11	23	451	442	432	734	635	901
PBANKA_1401200	PbANKA_14_v3;PbANKA_14_v3;PbANKA_14_v3	102806;107102;107621	106875;107527;107750	+;+;+	4626	25	51	25	21	51	17	33	25	19	1	25	10	4	31	247	76	47	113	63	60	9	9	280	316	356	1010	772	900
PBANKA_1206100	PbANKA_12_v3	240629	242242	+	1614	102	398	84	76	154	59	229	96	92	0	94	68	0	96	336	106	54	28	54	203	12	16	789	902	969	879	914	898
PBANKA_1134700	PbANKA_11_v3;PbANKA_11_v3;PbANKA_11_v3	1301908;1302283;1302617	1302005;1302391;1302820	+;+;+	411	90	642	41	23	114	19	156	35	66	0	69	33	0	28	133	41	18	11	3	59	2	7	674	714	740	1153	748	898
PBANKA_0913000	PbANKA_09_v3;PbANKA_09_v3;PbANKA_09_v3;PbANKA_09_v3;PbANKA_09_v3	491987;495885;496570;496832;497184	495801;496448;496714;497014;497597	-;-;-;-;-	5121	32	41	151	85	69	56	68	69	155	1	141	72	1	72	3904	1073	429	74	151	71	9	27	417	253	351	880	1073	897
PBANKA_0921800	PbANKA_09_v3	797080	798858	+	1779	94	263	106	58	285	79	203	54	48	1	105	46	0	118	496	157	87	42	76	248	12	15	191	229	257	842	702	897
PBANKA_0829500	PbANKA_08_v3	1124629	1128297	-	3669	177	754	208	138	870	223	819	138	47	3	427	170	0	522	633	289	190	134	201	711	27	45	89	84	131	966	737	896
PBANKA_1400091	PbANKA_14_v3;PbANKA_14_v3	40476;40667	40527;48942	+;+	8328	17	61	88	39	69	35	28	20	7	1	18	11	7	170	879	292	161	101	292	260	8	15	44	57	48	975	756	895
PBANKA_1223900	PbANKA_12_v3	901659	902750	-	1092	250	1118	190	131	488	147	1353	292	100	1	262	132	10	320	297	145	79	168	110	670	26	29	62	61	59	1058	708	895
PBANKA_1008100	PbANKA_10_v3	373582	375948	-	2367	4	15	13	10	13	16	8	6	19	2	8	10	6	9	310	75	28	30	13	9	1	4	677	506	661	1044	1222	894
PBANKA_1418400	PbANKA_14_v3;PbANKA_14_v3;PbANKA_14_v3;PbANKA_14_v3;PbANKA_14_v3	735033;735234;735497;735740;735983	735097;735379;735616;735807;736147	-;-;-;-;-	564	162	293	323	208	658	399	376	311	536	1	395	208	0	38	325	128	34	8	13	51	6	9	733	795	875	908	905	894
PBANKA_1222700	PbANKA_12_v3	862877	866440	-	3564	180	758	146	95	263	98	912	176	42	4	238	108	1	698	805	316	181	787	297	1275	39	57	165	137	133	1033	842	894
PBANKA_1331800	PbANKA_13_v3;PbANKA_13_v3;PbANKA_13_v3;PbANKA_13_v3;PbANKA_13_v3;PbANKA_13_v3	1290040;1290205;1290493;1290759;1291084;1291252	1290079;1290357;1290632;1290852;1291157;1291404	-;-;-;-;-;-	654	244	910	127	88	265	64	347	101	139	1	153	44	0	118	258	81	28	11	31	174	1	2	781	776	909	931	796	894
PBANKA_0103000	PbANKA_01_v3;PbANKA_01_v3;PbANKA_01_v3	140282;140695;140924	140417;140759;141004	+;+;+	282	277	980	36	32	142	58	281	166	195	0	186	47	3	52	112	28	22	14	9	93	6	15	325	309	393	1122	664	893
PBANKA_0504300	PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3	172045;172268;172734	172161;172453;172736	-;-;-	306	612	2480	391	316	1552	376	1495	883	1145	0	602	232	6	102	441	147	85	15	45	219	40	65	1220	1015	1350	736	602	891
PBANKA_1101100	PbANKA_11_v3;PbANKA_11_v3	75281;76603	76477;76656	-;-	1251	34	103	59	41	161	56	154	28	64	0	98	37	1	66	340	116	54	55	63	119	9	23	352	398	413	863	977	890
PBANKA_1332600	PbANKA_13_v3	1316699	1318807	-	2109	3	45	59	29	90	49	49	10	31	1	78	23	0	35	434	151	88	34	62	54	10	4	233	242	307	865	792	890
PBANKA_0501900	PbANKA_05_v3	72608	74221	+	1614	61	288	48	36	89	26	158	27	14	0	30	21	2	82	165	52	25	124	60	108	5	13	82	123	168	1109	602	890
PBANKA_0301500	PbANKA_03_v3;PbANKA_03_v3	48172;48336	48209;49347	-;-	1050	254	456	177	118	186	182	551	515	183	0	355	208	0	83	334	98	67	175	89	216	16	31	425	538	449	1119	743	889
PBANKA_0300100	PbANKA_03_v3;PbANKA_03_v3;PbANKA_03_v3	239;775;2969	664;2847;2995	-;-;-	2526	11	8	7	6	22	1	28	52	55	1	45	38	0	28	60	10	12	4	19	21	2	0	118	115	149	1006	703	889
PBANKA_1128700	PbANKA_11_v3;PbANKA_11_v3;PbANKA_11_v3	1090056;1090817;1091133	1090679;1090975;1091270	+;+;+	921	116	307	84	71	159	46	162	140	485	0	107	30	0	222	440	110	73	44	56	280	13	37	481	604	730	1031	804	888
PBANKA_1301500	PbANKA_13_v3;PbANKA_13_v3;PbANKA_13_v3	94792;97044;97226	96857;97142;97307	+;+;+	2247	5	25	25	14	22	10	16	4	9	3	11	13	0	18	393	130	57	14	30	17	1	8	164	157	220	913	688	886
PBANKA_1010800	PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3	495037;495417;495727;496047;496335;496526	495213;495516;495961;496193;496423;496551	+;+;+;+;+;+	774	39	70	42	29	85	20	96	21	107	0	48	32	0	70	185	49	28	11	29	79	1	6	692	887	914	821	836	885
PBANKA_0805300	PbANKA_08_v3	270678	270986	+	309	200	773	53	32	204	26	212	59	38	0	60	24	6	80	77	23	14	6	4	182	3	10	228	187	194	869	653	885
PBANKA_0315410	PbANKA_03_v3	534899	535418	-	520	139	452	20	11	112	36	158	49	21	0	78	19	75	187	152	50	109	88	37	409	45	22	234	268	297	1003	888	884
PBANKA_1230700	PbANKA_12_v3	1189394	1193548	-	4155	79	319	279	195	446	165	442	93	34	3	228	141	5	607	401	213	135	57	346	540	16	32	170	160	211	1199	851	884
PBANKA_0808200	PbANKA_08_v3;PbANKA_08_v3	405775;406325	406219;406632	+;+	753	360	2007	183	99	917	194	884	223	184	1	303	108	6	136	241	85	39	18	12	173	9	18	743	860	895	731	752	884
PBANKA_0408600	PbANKA_04_v3;PbANKA_04_v3	321067;322116	321695;322194	-;-	708	165	682	43	37	127	32	249	35	20	0	75	29	0	61	168	42	16	21	10	133	2	9	297	353	316	843	774	881
PBANKA_0702600	PbANKA_07_v3	137124	139976	+	2853	114	505	38	16	89	23	344	34	5	2	45	14	2	135	108	42	15	93	19	244	12	15	61	52	64	1257	691	881
PBANKA_0832600	PbANKA_08_v3	1233915	1234742	-	828	35	50	47	33	75	25	81	16	21	1	53	21	0	65	161	26	17	1	18	105	1	3	310	375	312	727	665	881
PBANKA_1450700	PbANKA_14_v3	1963137	1964330	-	1194	142	367	121	85	252	89	353	112	184	0	139	58	0	91	452	130	59	10	28	249	12	14	851	909	1211	781	860	880
PBANKA_1132100	PbANKA_11_v3;PbANKA_11_v3;PbANKA_11_v3;PbANKA_11_v3	1206848;1207109;1207286;1207485	1206939;1207168;1207349;1207526	+;+;+;+	258	262	666	57	54	154	113	226	236	259	0	150	69	0	25	67	19	9	7	6	22	3	5	417	543	604	1003	758	879
PBANKA_1001800	PbANKA_10_v3;PbANKA_10_v3	118908;119542	119309;129336	-;-	10197	76	173	112	105	94	32	89	59	52	2	59	48	0	317	396	139	73	151	526	676	19	36	211	191	216	1376	980	878
PBANKA_1400400	PbANKA_14_v3;PbANKA_14_v3	69010;69895	69717;69963	-;-	777	88	347	52	46	185	59	138	36	77	1	60	18	0	83	135	50	24	11	43	150	6	13	379	564	589	762	703	878
PBANKA_0721800	PbANKA_07_v3	792292	793071	+	780	67	331	39	20	150	27	175	42	16	1	54	26	0	102	94	33	16	8	49	180	4	15	133	121	102	1043	660	876
PBANKA_1455800	PbANKA_14_v3;PbANKA_14_v3;PbANKA_14_v3;PbANKA_14_v3	2156414;2156686;2157169;2157685	2156575;2157024;2157530;2158171	+;+;+;+	1350	7	32	130	46	96	42	79	25	45	0	108	76	6	50	2525	740	368	57	80	72	13	22	619	542	638	1238	1243	874
PBANKA_0317161	PbANKA_03_v3;PbANKA_03_v3	652753;652985	652758;653548	+;+	570	11	5	7	9	14	6	66	66	158	0	47	40	0	9	144	30	12	0	3	10	1	1	1250	1016	1260	726	986	872
PBANKA_0619300	PbANKA_06_v3;PbANKA_06_v3;PbANKA_06_v3	796646;797015;797207	796790;797077;797313	+;+;+	315	1870	2320	640	477	1644	725	2948	1882	531	0	980	527	0	116	169	50	21	14	29	260	24	50	637	679	767	869	809	872
PBANKA_0915900	PbANKA_09_v3	597893	601921	-	4029	33	71	71	33	109	25	111	19	10	1	51	23	5	300	354	97	75	106	98	471	20	24	74	69	61	949	591	871
PBANKA_1020500	PbANKA_10_v3	853371	854999	-	1629	655	1693	572	400	1469	531	3629	1072	335	0	1383	527	3	565	654	294	180	281	162	1418	112	153	249	210	254	1069	669	870
PBANKA_0311800	PbANKA_03_v3	411074	413335	-	2262	80	163	284	152	907	282	324	130	242	0	344	122	0	95	399	180	92	36	91	212	24	34	220	601	582	630	483	868
PBANKA_1012600	PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3	579768;582298;584395	582212;584305;584561	+;+;+	4620	114	413	79	58	124	37	394	78	37	2	93	40	11	833	550	189	117	271	367	1545	38	67	50	38	40	957	910	864
PBANKA_1200600	PbANKA_12_v3;PbANKA_12_v3	49909;56570	56436;56662	-;-	6621	63	101	82	42	105	103	92	121	143	0	115	67	0	28	237	57	47	9	54	32	6	6	967	1249	1214	895	938	863
PBANKA_1020400	PbANKA_10_v3	851197	852711	+	1515	174	403	164	113	221	131	386	208	125	0	239	136	0	205	357	135	68	147	85	272	11	20	363	429	398	914	650	863
PBANKA_1307600	PbANKA_13_v3;PbANKA_13_v3	367598;367865	367727;368559	-;-	825	129	420	168	111	221	38	193	51	97	0	106	54	0	162	258	72	40	16	34	253	5	5	596	596	699	736	631	862
PBANKA_0209600	PbANKA_02_v3;PbANKA_02_v3;PbANKA_02_v3;PbANKA_02_v3;PbANKA_02_v3;PbANKA_02_v3;PbANKA_02_v3	333603;334067;334340;334538;334796;335028;336734	333929;334247;334429;334650;334889;336626;339009	-;-;-;-;-;-;-	4680	43	145	53	34	144	47	174	31	43	3	69	29	0	265	593	141	55	46	94	284	1	10	106	100	105	828	760	861
PBANKA_0614600	PbANKA_06_v3	615050	616036	+	987	29	163	27	14	46	9	57	8	1	0	21	14	9	72	69	11	10	4	22	78	0	0	121	142	137	812	659	861
PBANKA_1020200	PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3	843829;844022;844229;844382;844633;844786;844942;845873	843855;844081;844258;844455;844690;844851;845684;846092	-;-;-;-;-;-;-;-	1278	247	756	213	108	410	218	717	409	212	1	240	136	0	55	260	75	33	82	42	146	16	26	400	528	533	991	928	860
PBANKA_1421900	PbANKA_14_v3	863090	865360	+	2271	7	35	47	44	54	17	31	20	52	2	26	17	3	107	290	97	31	12	71	90	4	13	665	579	728	983	838	860
PBANKA_0818100	PbANKA_08_v3	731447	733129	-	1683	31	53	52	40	56	34	88	16	38	1	52	22	0	129	384	129	50	22	40	138	8	13	229	210	232	902	672	860
PBANKA_1315700	PbANKA_13_v3	664125	670370	+	6246	23	98	245	143	287	205	112	87	368	2	232	108	6	43	1048	327	161	27	76	79	18	32	576	709	600	712	885	859
PBANKA_1455900	PbANKA_14_v3	2159007	2160161	+	1155	75	162	75	62	95	22	101	24	57	0	73	33	0	91	335	111	45	9	61	184	5	3	329	325	304	882	651	859
PBANKA_0518100	PbANKA_05_v3	657588	659384	+	1797	386	910	564	310	1790	525	2709	542	201	2	1015	357	6	718	257	159	127	416	268	1138	109	135	333	266	295	1203	881	858
PBANKA_0811900	PbANKA_08_v3	534084	535388	+	1305	117	265	95	74	114	51	177	97	69	2	68	46	4	90	67	29	15	13	24	158	5	2	327	325	357	989	730	858
PBANKA_0810100	PbANKA_08_v3;PbANKA_08_v3	461817;464022	463798;464181	-;-	2142	49	178	36	32	116	21	84	29	10	1	47	8	0	102	106	36	22	14	54	140	7	14	60	52	53	1088	716	858
PBANKA_0720100	PbANKA_07_v3;PbANKA_07_v3;PbANKA_07_v3;PbANKA_07_v3;PbANKA_07_v3;PbANKA_07_v3;PbANKA_07_v3;PbANKA_07_v3;PbANKA_07_v3;PbANKA_07_v3	724590;725729;727853;728094;728409;728724;731217;733405;738541;738704	725622;727728;727965;728212;728608;730946;733273;738412;738618;738790	+;+;+;+;+;+;+;+;+;+	12918	149	480	242	149	485	180	512	137	83	15	274	184	4	664	9412	2549	1060	738	670	1532	105	130	54	41	41	1269	1219	857
PBANKA_1205400	PbANKA_12_v3;PbANKA_12_v3;PbANKA_12_v3;PbANKA_12_v3;PbANKA_12_v3	215045;215576;216681;217038;217345	215461;216426;216793;217151;217433	-;-;-;-;-	1584	645	1157	907	542	1174	913	3582	2187	754	0	1212	803	5	176	727	244	138	254	68	445	81	128	501	475	565	1246	1083	857
PBANKA_1441400	PbANKA_14_v3;PbANKA_14_v3	1564215;1564938	1564830;1565116	-;-	795	59	230	83	63	175	39	167	42	36	0	106	39	0	82	410	142	63	11	29	137	6	13	805	689	887	936	735	857
PBANKA_1241500	PbANKA_12_v3	1579010	1580998	-	1989	728	1678	244	166	472	191	1181	438	171	0	347	183	2	462	291	181	145	917	252	721	120	134	220	254	354	1108	693	857
PBANKA_1425900	PbANKA_14_v3;PbANKA_14_v3	994424;994587	994498;998423	+;+	3912	14	70	162	88	159	92	83	58	126	2	109	86	0	43	567	166	85	7	34	27	6	9	206	233	225	715	618	857
PBANKA_0302200	PbANKA_03_v3;PbANKA_03_v3;PbANKA_03_v3;PbANKA_03_v3	72431;72638;72871;73168	72493;72736;72972;73227	-;-;-;-	324	259	1108	104	88	625	92	531	98	35	0	280	97	2	289	403	120	89	154	123	410	17	22	483	400	443	663	458	857
PBANKA_0412800	PbANKA_04_v3	457776	458459	-	684	350	513	147	97	316	139	402	254	246	0	166	85	0	78	176	48	28	2	21	137	2	5	1312	1246	1576	876	919	856
PBANKA_1209600	PbANKA_12_v3;PbANKA_12_v3;PbANKA_12_v3;PbANKA_12_v3	364502;364792;364959;365157	364630;364848;365033;365240	+;+;+;+	345	71	378	40	30	111	20	154	16	17	0	38	12	0	74	50	31	9	3	19	95	3	8	175	214	185	774	608	856
PBANKA_0907500	PbANKA_09_v3;PbANKA_09_v3;PbANKA_09_v3;PbANKA_09_v3;PbANKA_09_v3;PbANKA_09_v3;PbANKA_09_v3;PbANKA_09_v3;PbANKA_09_v3;PbANKA_09_v3;PbANKA_09_v3;PbANKA_09_v3;PbANKA_09_v3;PbANKA_09_v3	249363;249512;249690;249810;249983;250112;250360;250599;250761;250935;251115;251347;251529;251688	249413;249585;249703;249840;250001;250188;250460;250653;250778;251030;251244;251384;251579;251832	-;-;-;-;-;-;-;-;-;-;-;-;-;-	900	75	331	271	159	539	126	448	92	271	3	269	168	5	93	990	297	116	18	41	157	14	44	789	730	740	833	785	855
PBANKA_0836500	PbANKA_08_v3	1339453	1340121	+	669	4	33	11	7	29	3	7	0	11	0	3	4	0	7	92	15	7	1	1	1	0	1	558	389	481	774	772	854
PBANKA_0833800	PbANKA_08_v3	1268605	1270782	+	2178	197	647	115	86	426	126	947	198	81	1	238	110	0	191	322	96	58	40	64	458	37	61	558	571	655	811	706	854
PBANKA_1118700	PbANKA_11_v3	707113	711168	-	4056	167	492	362	206	830	305	1025	221	60	4	532	246	7	1214	362	264	180	221	519	1721	44	39	120	173	216	880	680	854
PBANKA_0524200	PbANKA_05_v3	890531	890998	-	468	705	968	311	278	504	424	696	1077	2069	0	1127	395	4	87	718	212	149	15	41	149	12	56	1281	1277	1657	743	785	853
PBANKA_1358500	PbANKA_13_v3;PbANKA_13_v3	2229752;2230621	2230390;2231151	+;+	1170	237	713	310	255	1390	297	1021	280	357	0	718	179	7	439	195	98	71	41	32	407	24	25	244	356	319	934	683	853
PBANKA_0205100	PbANKA_02_v3;PbANKA_02_v3;PbANKA_02_v3;PbANKA_02_v3;PbANKA_02_v3;PbANKA_02_v3;PbANKA_02_v3;PbANKA_02_v3;PbANKA_02_v3	170399;170627;171010;171289;171525;171710;171948;172264;172394	170441;170882;171164;171356;171608;171781;172072;172318;172540	+;+;+;+;+;+;+;+;+	1005	192	571	107	70	250	62	200	61	163	1	88	37	5	79	138	45	14	32	13	84	7	8	509	635	633	886	457	853
PBANKA_0413400	PbANKA_04_v3;PbANKA_04_v3;PbANKA_04_v3	482340;482911;483240	482775;483090;483739	+;+;+	1116	129	142	295	187	369	212	254	182	792	0	384	182	0	89	439	134	48	5	28	79	6	16	410	476	429	843	746	852
PBANKA_1338000	PbANKA_13_v3;PbANKA_13_v3	1502429;1502757	1502614;1502912	+;+	342	185	887	109	69	257	35	210	54	75	0	119	44	6	74	176	55	24	2	13	96	4	5	585	629	700	974	627	852
PBANKA_1317300	PbANKA_13_v3;PbANKA_13_v3	727500;727853	727695;732630	-;-	4974	45	128	78	62	62	33	98	25	25	4	38	31	6	259	294	76	27	39	168	435	5	8	438	423	476	689	824	851
PBANKA_1313800	PbANKA_13_v3	589158	590660	-	1503	79	180	107	96	161	75	223	136	135	0	110	66	1	109	214	56	29	33	26	143	9	16	1023	965	1221	865	783	850
PBANKA_0913700	PbANKA_09_v3	517253	518737	-	1485	61	204	69	53	113	36	114	31	26	0	40	20	0	76	164	44	22	20	32	122	3	2	443	467	521	925	837	849
PBANKA_0928400	PbANKA_09_v3	1047728	1048804	-	1077	180	400	129	88	270	68	341	90	60	0	149	67	4	229	239	71	42	13	59	427	18	24	401	286	371	1152	786	849
PBANKA_1316400	PbANKA_13_v3;PbANKA_13_v3;PbANKA_13_v3;PbANKA_13_v3;PbANKA_13_v3;PbANKA_13_v3;PbANKA_13_v3;PbANKA_13_v3	696087;696482;696671;696867;697061;697287;697463;697665	696102;696558;696741;696961;697169;697350;697570;698081	+;+;+;+;+;+;+;+	957	187	322	366	240	625	369	407	438	890	0	395	271	0	55	342	112	52	10	26	49	5	13	624	841	917	786	686	849
PBANKA_1458200	PbANKA_14_v3	2231115	2232362	-	1248	62	174	83	70	130	29	196	50	42	1	79	47	6	273	484	156	77	25	68	349	6	6	194	106	148	914	744	848
PBANKA_0209100	PbANKA_02_v3;PbANKA_02_v3;PbANKA_02_v3	319172;319721;319923	319538;319775;319980	-;-;-	480	1002	4451	144	90	1051	242	3084	1049	459	0	519	146	5	270	69	32	22	229	23	545	44	56	275	266	283	950	628	848
PBANKA_1136400	PbANKA_11_v3;PbANKA_11_v3;PbANKA_11_v3;PbANKA_11_v3;PbANKA_11_v3;PbANKA_11_v3;PbANKA_11_v3	1370190;1370375;1370539;1370701;1370863;1371075;1371461	1370246;1370448;1370601;1370765;1370962;1371337;1371609	-;-;-;-;-;-;-	771	235	343	100	83	182	67	179	98	321	0	119	48	0	88	105	28	17	4	15	122	1	2	784	792	852	790	810	847
PBANKA_1013900	PbANKA_10_v3	621228	621947	-	720	169	574	114	74	380	102	393	69	63	0	228	93	4	174	1789	632	221	63	79	308	19	88	348	310	386	1126	735	847
PBANKA_1340700	PbANKA_13_v3;PbANKA_13_v3	1598522;1598758	1598581;1599123	+;+	426	270	436	31	28	129	14	107	18	92	1	109	16	0	47	97	37	19	5	10	87	2	2	501	521	508	748	534	846
PBANKA_1214100	PbANKA_12_v3;PbANKA_12_v3;PbANKA_12_v3;PbANKA_12_v3;PbANKA_12_v3;PbANKA_12_v3;PbANKA_12_v3;PbANKA_12_v3;PbANKA_12_v3	537582;537844;538063;538221;538415;538597;538789;539110;539481	537734;537976;538130;538293;538488;538651;539009;539270;539538	-;-;-;-;-;-;-;-;-	996	49	127	97	34	100	29	95	17	30	3	62	41	0	38	265	77	21	3	26	40	4	12	357	347	388	746	712	845
PBANKA_1028100	PbANKA_10_v3	1144564	1145949	-	1386	94	273	44	30	98	34	255	66	76	0	74	27	0	86	211	63	37	30	29	126	5	13	158	204	182	988	693	844
PBANKA_0613000	PbANKA_06_v3	551872	555582	-	3711	115	286	66	35	120	46	437	95	21	3	106	63	4	370	526	202	113	253	220	878	22	46	79	58	44	903	649	844
PBANKA_1035100	PbANKA_10_v3;PbANKA_10_v3	1427267;1428528	1428198;1428534	-;-	939	1027	2289	211	181	519	232	1135	885	931	1	368	181	7	112	264	97	36	147	58	324	26	69	903	1065	1146	875	740	842
PBANKA_0316300	PbANKA_03_v3;PbANKA_03_v3	562854;563056	562928;563799	+;+	819	62	213	53	40	170	29	113	17	11	2	66	21	0	81	121	19	15	4	9	136	1	0	234	304	292	833	576	841
PBANKA_0315100	PbANKA_03_v3	522120	523619	-	1500	585	1730	241	174	738	234	1665	553	332	0	471	173	8	401	304	121	56	244	101	600	38	68	269	289	341	931	684	840
PBANKA_1404400	PbANKA_14_v3;PbANKA_14_v3	236578;237619	237440;238198	-;-	1443	318	1227	186	148	385	138	1312	315	229	2	398	126	4	410	358	111	62	239	73	580	35	69	390	343	476	841	659	840
PBANKA_0710600	PbANKA_07_v3	407168	408958	+	1791	167	741	155	107	327	64	331	77	92	0	98	62	0	176	268	71	40	17	41	198	9	20	910	743	918	944	873	839
